species_name,latitude,longitude,coordinate_uncertainty
Frangula alnus,52.895959999999995,-2.84131,1000.0
Frangula alnus,51.72592,0.5707899999999999,100.0
Frangula alnus,51.724959999999996,0.57363,100.0
Frangula alnus,52.30741,0.28160999999999997,100.0
Frangula alnus,51.65002,-2.94089,10000.0
Frangula alnus,51.64396,-3.5188699999999997,10000.0
Frangula alnus,51.55408,-3.5158699999999996,10000.0
Frangula alnus,52.905359999999995,-2.78202,1000.0
Frangula alnus,51.1912,-2.78348,10.0
Frangula alnus,51.187329999999996,-2.78356,10.0
Frangula alnus,51.55745,-3.22748,10000.0
Frangula alnus,53.18188000000001,-2.22591,10000.0
Frangula alnus,51.64877,-3.08541,10000.0
Frangula alnus,51.46597,-3.36899,10000.0
Frangula alnus,51.555859999999996,-3.3716800000000005,10000.0
Frangula alnus,52.771159999999995,-2.67585,1000.0
Frangula alnus,52.87798000000001,-2.84096,1000.0
Frangula alnus,52.30999,0.28761,100.0
Frangula alnus,52.26204,0.25584,100.0
Frangula alnus,50.980990999999996,-1.085202,1.0
Frangula alnus,52.536080000000005,-3.9918199999999997,10000.0
Frangula alnus,52.2729,0.2989,100.0
Frangula alnus,52.27737,0.30059,100.0
Frangula alnus,51.82713,-3.2348,10000.0
Frangula alnus,52.758959999999995,-0.94416,100.0
Frangula alnus,53.27007,-2.6762,10000.0
Frangula alnus,51.8196,-3.8149599999999997,10000.0
Frangula alnus,53.358999999999995,-2.82786,10000.0
Frangula alnus,51.19247,-2.78178,10.0
Frangula alnus,51.63987,-3.8077699999999997,10000.0
Frangula alnus,52.75581999999999,1.65678,100.0
Frangula alnus,51.46898,-3.08113,10000.0
Frangula alnus,51.919709999999995,-2.94652,10000.0
Frangula alnus,52.30728,0.6535,2000.0
Frangula alnus,51.64735,-3.22991,10000.0
Frangula alnus,51.63756,-3.9521900000000003,10000.0
Frangula alnus,51.740990000000004,-2.79795,10000.0
Frangula alnus,54.18601999999999,-2.81366,2000.0
Frangula alnus,53.773019999999995,-2.74495,2000.0
Frangula alnus,52.001490000000004,-3.6766300000000003,10000.0
Frangula alnus,53.357859999999995,-2.9781,10000.0
Frangula alnus,53.35995,-2.67762,10000.0
Frangula alnus,52.9124,-2.0758,10000.0
Fraxinus excelsior,52.713451,-2.757819,169.0
Fraxinus excelsior,52.711968000000006,-2.744332,151.0
Fraxinus excelsior,53.207066000000005,-4.234474,4.0
Fraxinus excelsior,53.547175,-2.570425,8.0
Fraxinus excelsior,51.44169,-2.529154,9.0
Fraxinus excelsior,53.557928000000004,-2.626087,10.0
Fraxinus excelsior,52.121362,-2.339109,61.0
Fraxinus excelsior,52.952343000000006,-1.117618,10.0
Fraxinus excelsior,53.60290500000001,-2.856188,6.0
Fraxinus excelsior,52.224236,1.270994,40.0
Fraxinus excelsior,53.332889,-2.791303,2.0
Fraxinus excelsior,52.494943000000006,-0.7165189999999999,6.0
Fraxinus excelsior,53.054347,-3.903275,4.0
Fraxinus excelsior,53.374388,-4.408333,4.0
Fraxinus excelsior,52.222423,1.264528,31.0
Fraxinus excelsior,53.755097,-2.717495,8.0
Fraxinus excelsior,53.37785,-2.9401,2.0
Fraxinus excelsior,53.455,-2.624264,5.0
Fraxinus excelsior,53.492116,-2.54357,2.0
Fraxinus excelsior,53.387384999999995,-2.936188,4.0
Fraxinus excelsior,53.719513,-2.65983,2.0
Fraxinus excelsior,53.41361800000001,-2.810279,4.0
Fraxinus excelsior,53.34935600000001,-2.759903,2.0
Fraxinus excelsior,53.608973999999996,-2.968523,33.0
Fraxinus excelsior,53.37469,-2.870796,1.0
Fraxinus excelsior,51.916856,-2.07993,15.0
Fraxinus excelsior,51.408846999999994,-2.2371220000000003,48.0
Fraxinus excelsior,53.394642000000005,-2.875586,96.0
Fraxinus excelsior,53.728324,-2.6564419999999997,8.0
Fraxinus excelsior,52.62157,1.351842,97.0
Fraxinus excelsior,50.984531,-2.753822,42.0
Fraxinus excelsior,53.262875,-1.2745549999999999,500.0
Fraxinus excelsior,53.368981000000005,-2.842854,8.0
Fraxinus excelsior,52.003407,-0.764676,29.0
Fraxinus excelsior,53.430446999999994,-2.2862240000000003,5.0
